Date,Package,Title
2018-12-12,mvbutils,"Workspace Organization, Code and Documentation Editing, Package
Prep and Editing, Etc"
2018-12-12,NetworkDistance,Distance Measures for Networks
2018-12-12,parallelDist,Parallel Distance Matrix Computation using Multiple Threads
2018-12-12,skynet,Generates Networks from BTS Data
2018-12-12,SMFilter,"Filtering Algorithms for the State Space Models on the Stiefel
Manifold"
2018-12-12,tractor.base,"Read, Manipulate and Visualise Magnetic Resonance Images"
2018-12-12,tsibble,Tidy Temporal Data Frames and Tools
2018-12-12,xtensor,Headers for the 'xtensor' Library
2018-12-11,animation,"A Gallery of Animations in Statistics and Utilities to Create
Animations"
2018-12-11,ANN2,Artificial Neural Networks for Anomaly Detection
2018-12-11,BIFIEsurvey,Tools for Survey Statistics in Educational Assessment
2018-12-11,CrossVA,"Verbal Autopsy Data Transform for Use with Various Coding
Algorithms"
2018-12-11,CsChange,Testing for Change in C-Statistic
2018-12-11,diagmeta,"Meta-Analysis of Diagnostic Accuracy Studies with Several
Cutpoints"
2018-12-11,expss,"Tables with Labels and Some Useful Functions from Spreadsheets
and 'SPSS' Statistics"
2018-12-11,fieldRS,Remote Sensing Field Work Tools
2018-12-11,geogrid,Turn Geospatial Polygons into Regular or Hexagonal Grids
2018-12-11,glmm,"Generalized Linear Mixed Models via Monte Carlo Likelihood
Approximation"
2018-12-11,httr,Tools for Working with URLs and HTTP
2018-12-11,ivtools,Instrumental Variables
2018-12-11,jmv,The 'jamovi' Analyses
2018-12-11,lpirfs,Local Projections Impulse Response Functions
2018-12-11,mdsstat,Statistical Trending for Medical Devices Surveillance
2018-12-11,miceadds,"Some Additional Multiple Imputation Functions, Especially for
'mice'"
2018-12-11,MKmisc,Miscellaneous Functions from M. Kohl
2018-12-11,MoEClust,Gaussian Parsimonious Clustering Models with Covariates
2018-12-11,MVar,Multivariate Analysis
2018-12-11,MVar.pt,Analise multivariada (brazilian portuguese)
2018-12-11,osqp,Quadratic Programming Solver using the 'OSQP' Library
2018-12-11,pbdDMAT,'pbdR' Distributed Matrix Methods
2018-12-11,photobiology,Photobiological Calculations
2018-12-11,RcppParallel,Parallel Programming Tools for 'Rcpp'
2018-12-11,RNAsmc,"RNA Secondary Structure Module Mining, Comparison and Plotting"
2018-12-11,rsMove,Guidelines for the use of Remote Sensing in Movement Ecology
2018-12-11,rSPARCS,Statistical Package for Analysis Related Cleaning Support
2018-12-11,smoothr,Smooth and Tidy Spatial Features
2018-12-10,antaresProcessing,'Antares' Results Processing
2018-12-10,balance,Visualize Balances of Compositional Data
2018-12-10,bivariate,Bivariate Probability Distributions
2018-12-10,bnviewer,Interactive Visualization of Bayesian Networks
2018-12-10,ClimProjDiags,Set of Tools to Compute Various Climate Indices
2018-12-10,drake,A Pipeline Toolkit for Reproducible Computation at Scale
2018-12-10,erhcv,Equi-Rank Hierarchical Clustering Validation
2018-12-10,FNN,Fast Nearest Neighbor Search Algorithms and Applications
2018-12-10,GPareto,Gaussian Processes for Pareto Front Estimation and Optimization
2018-12-10,immer,Item Response Models for Multiple Ratings
2018-12-10,jmvcore,Dependencies for the 'jamovi' Framework
2018-12-10,knitr,A General-Purpose Package for Dynamic Report Generation in R
2018-12-10,loon,Interactive Statistical Data Visualization
2018-12-10,mds,Medical Devices Surveillance
2018-12-10,metansue,"Meta-Analysis of Studies with Non-Statistically Significant
Unreported Effects"
2018-12-10,mistr,Mixture and Composite Distributions
2018-12-10,mudfold,Multiple UniDimensional unFOLDing
2018-12-10,prism,Access Data from the Oregon State Prism Climate Project
2018-12-10,RANN.L1,"Fast Nearest Neighbour Search (Wraps ANN Library) Using L1
Metric"
2018-12-10,rEDM,Applications of Empirical Dynamic Modeling from Time Series
2018-12-10,RQuantLib,R Interface to the 'QuantLib' Library
2018-12-10,RxODE,Facilities for Simulating from ODE-Based Models
2018-12-10,TAM,Test Analysis Modules
2018-12-10,visdat,Preliminary Visualisation of Data
2018-12-09,ChemoSpec2D,Exploratory Chemometrics for 2D Spectroscopy
2018-12-09,COMPoissonReg,Conway-Maxwell Poisson (COM-Poisson) Regression
2018-12-09,dials,Tools for Creating Tuning Parameter Values
2018-12-09,DiPs,"Directional Penalties for Optimal Matching in Observational
Studies"
2018-12-09,DJL,Distance Measure Based Judgment and Learning
2018-12-09,iptools,"Manipulate, Validate and Resolve 'IP' Addresses"
2018-12-09,LinkedGASP,Linked Emulator of a Coupled System of Simulators
2018-12-09,LSDsensitivity,Sensitivity Analysis Tools for LSD
2018-12-09,measurements,Tools for Units of Measurement
2018-12-09,multiRDPG,Multiple Random Dot Product Graphs
2018-12-09,NTS,Nonlinear Time Series Analysis
2018-12-09,openCR,Open Population Capture-Recapture
2018-12-09,optionstrat,"Utilizes the Black-Scholes Option Pricing Model to Perform
Strategic Option Analysis and Plot Option Strategies"
2018-12-09,parglm,Parallel GLM
2018-12-09,pedigreeTools,Versatile Functions for Working with Pedigrees
2018-12-09,PSTR,Panel Smooth Transition Regression Modelling
2018-12-09,radix,'R Markdown' Format for Scientific and Technical Writing
2018-12-09,RCarb,Dose Rate Modelling of Carbonate-Rich Samples
2018-12-09,smurf,Sparse Multi-Type Regularized Feature Modeling
2018-12-09,ssmrob,Robust Estimation and Inference in Sample Selection Models
2018-12-09,streamR,Access to Twitter Streaming API via R
2018-12-09,transformr,Polygon and Path Transformations
2018-12-09,uavRst,Unmanned Aerial Vehicle Remote Sensing Tools
2018-12-09,UCSCXenaTools,Download and Explore Datasets from UCSC Xena Data Hubs
2018-12-09,udpipe,"Tokenization, Parts of Speech Tagging, Lemmatization and
Dependency Parsing with the 'UDPipe' 'NLP' Toolkit"
2018-12-09,viewshed3d,"Compute Viewshed in 3D Terrestrial Laser Scanner Scenes of
Ecosystems"
2018-12-08,automl,Deep Learning with Metaheuristic
2018-12-08,cNORM,Continuous Norming
2018-12-08,depmix,Dependent Mixture Models
2018-12-08,exams,Automatic Generation of Exams in R
2018-12-08,gamlss.dist,"Distributions for Generalized Additive Models for Location Scale
and Shape"
2018-12-08,IsoplotR,Statistical Toolbox for Radiometric Geochronology
2018-12-08,landscapemetrics,Landscape Metrics for Categorical Map Patterns
2018-12-08,mdsOpt,"Searching for Optimal MDS Procedure for Metric and
Interval-Valued Data"
2018-12-08,palm,Fitting Point Process Models via the Palm Likelihood
2018-12-08,pbdBASE,"Programming with Big Data – Base Wrappers for Distributed
Matrices"
2018-12-08,R2STATS,A GTK GUI for Fitting and Comparing GLM and GLMM
2018-12-08,Rdrools,A Rules Engine Based on 'Drools'
2018-12-08,rmarkdown,Dynamic Documents for R
2018-12-08,rPraat,Interface to Praat
2018-12-08,rtk,Rarefaction Tool Kit
2018-12-08,totalcensus,Extract Decennial Census and American Community Survey Data
2018-12-07,ammistability,"Additive Main Effects and Multiplicative Interaction Model
Stability Parameters"
2018-12-07,auk,eBird Data Extraction and Processing in R
2018-12-07,beadplexr,Analysis of Multiplex Cytometric Bead Assays
2018-12-07,eiPack,Ecological Inference and Higher-Dimension Data Management
2018-12-07,FENmlm,Fixed Effects Nonlinear Maximum Likelihood Models
2018-12-07,float,32-Bit Floats
2018-12-07,gimms,Download and Process GIMMS NDVI3g Data
2018-12-07,httptest,A Test Environment for HTTP Requests
2018-12-07,icesAdvice,Functions Related to ICES Advice
2018-12-07,jsonlite,"A Robust, High Performance JSON Parser and Generator for R"
2018-12-07,laGP,Local Approximate Gaussian Process Regression
2018-12-07,lomb,Lomb-Scargle Periodogram
2018-12-07,lwgeom,Bindings to Selected 'liblwgeom' Functions for Simple Features
2018-12-07,markdown,'Markdown' Rendering for R
2018-12-07,parmsurvfit,Parametric Models for Survival Data
2018-12-07,pkgdown,Make Static HTML Documentation for a Package
2018-12-07,secrdesign,Sampling Design for Spatially Explicit Capture-Recapture
2018-12-07,shadowtext,Shadow Text Grob and Layer
2018-12-07,ShinyItemAnalysis,Test and Item Analysis via Shiny
2018-12-07,tcgsaseq,Time-Course Gene Set Analysis for RNA-Seq Data
2018-12-07,VARSEDIG,"An Algorithm for Morphometric Characters Selection and
Statistical Validation in Morphological Taxonomy"
2018-12-07,WDI,World Development Indicators (World Bank)
2018-12-06,CARBayes,Spatial Generalised Linear Mixed Models for Areal Unit Data
2018-12-06,ChainLadder,"Statistical Methods and Models for Claims Reserving in General
Insurance"
2018-12-06,classyfireR,R Interface to the ClassyFire RESTful API
2018-12-06,clordr,"Composite Likelihood Inference and Diagnostics for Replicated
Spatial Ordinal Data"
2018-12-06,CMplot,Circle Manhattan Plot
2018-12-06,EcoIndR,Ecological Indicators
2018-12-06,emstreeR,Fast Computing Euclidean Minimum Spanning Trees
2018-12-06,FactorsR,Identification of the Factors Affecting Species Richness
2018-12-06,FunChisq,Chi-Square and Exact Tests for Model-Free Functional Dependency
2018-12-06,hsdar,"Manage, Analyse and Simulate Hyperspectral Data"
2018-12-06,idealstan,Generalized IRT Ideal Point Models with 'Stan'
2018-12-06,mdendro,Variable-Group Methods for Agglomerative Hierarchical Clustering
2018-12-06,metatest,Fit and Test Metaregression Models
2018-12-06,nngeo,k-Nearest Neighbor Join for Spatial Data
2018-12-06,pleio,Pleiotropy Test for Multiple Traits on a Genetic Marker
2018-12-06,rvcheck,R/Package Version Check
2018-12-06,SAMM,Some Algorithms for Mixed Models
2018-12-06,spacesXYZ,CIE XYZ and some of Its Derived Color Spaces
2018-12-06,SPEDInstabR,"Estimation of the Relative Importance of Factors Affecting
Species Distribution Based on Stability Concept"
2018-12-06,surveydata,Tools to Work with Survey Data
2018-12-06,trajectories,Classes and Methods for Trajectory Data
2018-12-06,vlad,"Variable Life Adjusted Display and Other Risk-Adjusted Quality
Control Charts"
2018-12-05,acopula,"Modelling Dependence with Multivariate Archimax (or any
User-Defined Continuous) Copulas"
2018-12-05,AHR,Estimation and Testing of Average Hazard Ratios
2018-12-05,arulesViz,Visualizing Association Rules and Frequent Itemsets
2018-12-05,broom,Convert Statistical Analysis Objects into Tidy Tibbles
2018-12-05,brranching,Fetch 'Phylogenies' from Many Sources
2018-12-05,csvread,Fast Specialized CSV File Loader
2018-12-05,dst,Using the Theory of Belief Functions
2018-12-05,echo.find,"Finding Rhythms Using Extended Circadian Harmonic Oscillators
(ECHO)"
2018-12-05,EMD,Empirical Mode Decomposition and Hilbert Spectral Analysis
2018-12-05,eplusr,"A Toolkit for Using Whole Building Simulation Program
'EnergyPlus'"
2018-12-05,errors,Uncertainty Propagation for R Vectors
2018-12-05,fsdaR,"Robust Data Analysis Through Monitoring and Dynamic
Visualization"
2018-12-05,fun,Use R for Fun
2018-12-05,fuzzyreg,Fuzzy Linear Regression
2018-12-05,humanleague,Synthetic Population Generator
2018-12-05,IRISMustangMetrics,Statistics and Metrics for Seismic Data
2018-12-05,KnowBR,"Discriminating Well Surveyed Spatial Units from Exhaustive
Biodiversity Databases"
2018-12-05,pkgsearch,Search CRAN R Packages
2018-12-05,processx,Execute and Control System Processes
2018-12-05,profr,An Alternative Display for Profiling Information
2018-12-05,quantities,Quantity Calculus for R Vectors
2018-12-05,rpql,Regularized PQL for Joint Selection in GLMMs
2018-12-05,ruler,Tidy Data Validation Reports
2018-12-05,spCP,Spatially Varying Change Points
2018-12-05,testit,A Simple Package for Testing R Packages
2018-12-05,units,Measurement Units for R Vectors
2018-12-05,visNetwork,Network Visualization using 'vis.js' Library
2018-12-04,biospear,Biomarker Selection in Penalized Regression Models
2018-12-04,HiCfeat,"Multiple Logistic Regression for 3D Chromatin Domain Border
Analysis"
2018-12-04,JointAI,Joint Analysis and Imputation of Incomplete Data
2018-12-04,matchingMarkets,Analysis of Stable Matchings
2018-12-04,pdfCluster,Cluster Analysis via Nonparametric Density Estimation
2018-12-04,prediction,"Tidy, Type-Safe 'prediction()' Methods"
2018-12-04,rerf,Randomer Forest
2018-12-04,rTensor,Tools for Tensor Analysis and Decomposition
2018-12-04,seismicRoll,Fast Rolling Functions for Seismology using 'Rcpp'
2018-12-04,womblR,Spatiotemporal Boundary Detection Model for Areal Unit Data
2018-12-03,aGE,"Adaptive Set-Based Gene-Environment Interaction Test for Rare
Variants"
2018-12-03,argonDash,Argon Shiny Dashboard Template
2018-12-03,arules,Mining Association Rules and Frequent Itemsets
2018-12-03,BeyondBenford,"Compare the Goodness of Fit of Benford's and Blondeau Da Silva's
Digit Distributions to a Given Dataset"
2018-12-03,cglm,Fits Conditional Generalized Linear Models
2018-12-03,CopCTS,"Copula-Based Semiparametric Analysis for Time Series Data with
Detection Limits"
2018-12-03,Copula.surv,Association Analysis of Bivariate Survival Data Based on Copulas
2018-12-03,customsteps,Customizable Higher-Order Recipe Step Functions
2018-12-03,cvmgof,Cramer-von Mises Goodness-of-Fit Tests
2018-12-03,DIMORA,Diffusion Models R Analysis
2018-12-03,dr4pl,"Dose Response Data Analysis using the 4 Parameter Logistic (4pl)
Model"
2018-12-03,episensr,Basic Sensitivity Analysis of Epidemiological Results
2018-12-03,ev.trawl,Extreme Value Trawls
2018-12-03,eyetrackingR,Eye-Tracking Data Analysis
2018-12-03,FAMoS,A Flexible Algorithm for Model Selection (FAMoS)
2018-12-03,fbar,An Extensible Approach to Flux Balance Analysis
2018-12-03,featurefinder,Feature Finder
2018-12-03,GENMETA,"Implements Generalized Meta-Analysis Using Iterated Reweighted
Least Squares Algorithm"
2018-12-03,gmat,Simulation of Graphically Constrained Matrices
2018-12-03,ical,'iCalendar' Parsing
2018-12-03,icsurvROC,Interval Censored Survival ROC
2018-12-03,jackstraw,Statistical Inference for Unsupervised Learning
2018-12-03,lspartition,"Nonparametric Estimation and Inference Procedures using
Partitioning-Based Least Squares Regression"
2018-12-03,MazamaCoreUtils,Utility Functions for Production R Code
2018-12-03,meanShiftR,A Computationally Efficient Mean Shift Implementation
2018-12-03,mixRaschTools,"Plotting and Average Theta Functions for Multiple Class Mixed
Rasch Models"
2018-12-03,mlergm,Multilevel Exponential-Family Random Graph Models
2018-12-03,mlt,Most Likely Transformations
2018-12-03,MODIStsp,"A Tool for Automating Download and Preprocessing of MODIS Land
Products Data"
2018-12-03,moveVis,Movement Data Visualization
2018-12-03,npExact,"Exact Nonparametric Hypothesis Tests for the Mean, Variance and
Stochastic Inequality"
2018-12-03,ParBayesianOptimization,Parallel Bayesian Optimization of Hyperparameters
2018-12-03,PeakSegDisk,Disk-Based Implementation of PeakSegFPOP
2018-12-03,PKconverter,The Parameter Converter of the Pharmacokinetic Models
2018-12-03,pkgcond,Classed Error and Warning Conditions
2018-12-03,ppcc,Probability Plot Correlation Coefficient Test
2018-12-03,qccrs,Quality Control Charts under Repetitive Sampling
2018-12-03,refuge,Locate Trans and Intersex-Friendly Toilets
2018-12-03,remedy,'RStudio' Addins to Simplify 'Markdown' Writing
2018-12-03,RProbSup,Calculates Probability of Superiority
2018-12-03,semds,Structural Equation Multidimensional Scaling
2018-12-03,SoilHyP,Soil Hydraulic Properties
2018-12-03,solartime,"Utilities Dealing with Solar Time Such as Sun Position and Time
of Sunrise"
2018-12-03,tabula,"Analysis, Seriation and Visualization of Archaeological Count
Data"
2018-12-03,twosamples,Fast Permutation Based Two Sample Tests
2018-12-03,vmsbase,"GUI Tools to Process, Analyze and Plot Fisheries Data"
2018-12-02,ar.matrix,Simulate Auto Regressive Data from Precision Matricies
2018-12-02,AzureRMR,Interface to 'Azure Resource Manager'
2018-12-02,BayesianNetwork,Bayesian Network Modeling and Analysis
2018-12-02,compas,Conformational Manipulations of Protein Atomic Structures
2018-12-02,covatest,Tests on Properties of Space-Time Covariance Functions
2018-12-02,DBKGrad,Discrete Beta Kernel Graduation of Mortality Data
2018-12-02,eAnalytics,Dynamic Web-Based Analytics for the Energy Industry
2018-12-02,empirical,Probability Distributions as Models of Data
2018-12-02,energyr,"Data Published by the United States Federal Energy Regulatory
Commission"
2018-12-02,ezpickr,"Import Various Data File Types as a Rectangular Form Using a
File Picker Dialogue Box"
2018-12-02,hoardr,Manage Cached Files
2018-12-02,pmd,"Paired Mass Distance Analysis for GC/LC-MS Based Non-Targeted
Analysis"
2018-12-02,pracma,Practical Numerical Math Functions
2018-12-02,smooth,Forecasting Using State Space Models
2018-12-02,TreeDep,Air Pollution Removal by Dry Deposition on Trees
2018-12-02,writexl,Export Data Frames to Excel 'xlsx' Format
2018-12-01,cartogram,Create Cartograms with R
2018-12-01,causalweight,"Estimation Methods for Causal Inference Based on Inverse
Probability Weighting"
2018-12-01,cleandata,"To Inspect and Manipulate Data; and to Keep Track of This
Process"
2018-12-01,commonmark,High Performance CommonMark and Github Markdown Rendering in R
2018-12-01,container,"Deque, Set, and Dict - R6 Based Container Classes with Iterators"
2018-12-01,ggQC,Quality Control Charts for 'ggplot'
2018-12-01,graphql,A GraphQL Query Parser
2018-12-01,groupedstats,Grouped Statistical Analyses in a Tidy Way
2018-12-01,HMMcopula,"Markov Regime Switching Copula Models Estimation and Goodness of
Fit"
2018-12-01,keyholder,Store Data About Rows
2018-12-01,lbfgsb3c,"Limited Memory BFGS Minimizer with Bounds on Parameters with
optim() 'C' Interface"
2018-12-01,scrime,Analysis of High-Dimensional Categorical Data Such as SNP Data
2018-12-01,SeedCalc,Seed Germination and Seedling Growth Indexes
2018-12-01,snfa,Smooth Non-Parametric Frontier Analysis
2018-12-01,telegram.bot,Develop a 'Telegram Bot' with R
2018-12-01,TR8,A Tool for Downloading Functional Traits Data for Plant Species
2018-11-30,AMR,Antimicrobial Resistance Analysis
2018-11-30,argparse,Command Line Optional and Positional Argument Parser
2018-11-30,ARTP2,Pathway and Gene-Level Association Test
2018-11-30,BART,Bayesian Additive Regression Trees
2018-11-30,BayesMallows,Bayesian Preference Learning with the Mallows Rank Model
2018-11-30,effects,"Effect Displays for Linear, Generalized Linear, and Other Models"
2018-11-30,fishtree,Interface to the Fish Tree of Life API
2018-11-30,ggnormalviolin,A 'ggplot2' Extension to Make Normal Violin Plots
2018-11-30,HMB,Hierarchical Model-Based Estimation Approach
2018-11-30,ImputeRobust,"Robust Multiple Imputation with Generalized Additive Models for
Location Scale and Shape"
2018-11-30,interactionTest,"Calculates Critical Test Statistics to Control False Discovery
Rates in Marginal Effects Plots"
2018-11-30,JGL,"Performs the Joint Graphical Lasso for Sparse Inverse Covariance
Estimation on Multiple Classes"
2018-11-30,jmvconnect,Connect to the 'jamovi' Statistical Spreadsheet
2018-11-30,lg,Locally Gaussian Distributions: Estimation and Methods
2018-11-30,merDeriv,Case-Wise and Cluster-Wise Derivatives for Mixed Effects Models
2018-11-30,MetaboLouise,METABOlomics LOngitudinal SimUlation Engine
2018-11-30,nCopula,"Hierarchical Archimedean Copulas Constructed with Multivariate
Compound Distributions"
2018-11-30,PCMBase,"Simulation and Likelihood Calculation of Phylogenetic
Comparative Models"
2018-11-30,RATest,Randomization Tests
2018-11-30,rCRM,Regularized Continual Reassessment Method
2018-11-30,rdtLite,Provenance Collector
2018-11-30,relsurv,Relative Survival
2018-11-30,rSEA,Simultaneous Enrichment Analysis
2018-11-30,SeqFeatR,A Tool to Associate FASTA Sequences and Features
2018-11-30,smartR,"Spatial Management and Assessment of Demersal Resources for
Trawl Fisheries"
2018-11-30,strex,Extra String Manipulation Functions
2018-11-30,vistributions,Visualize Probability Distributions
2018-11-29,albopictus,Age-Structured Population Dynamics Model
2018-11-29,causaleffect,"Deriving Expressions of Joint Interventional Distributions and
Transport Formulas in Causal Models"
2018-11-29,celestial,"Collection of Common Astronomical Conversion Routines and
Functions"
2018-11-29,changepoint.mv,Changepoint Analysis for Multivariate Time Series
2018-11-29,circumplex,Analysis and Visualization of Circular Data
2018-11-29,ectotemp,"Quantitative Estimates of Small Ectotherm Temperature Regulation
Effectiveness"
2018-11-29,epoc,Endogenous Perturbation Analysis of Cancer
2018-11-29,findpython,Functions to Find an Acceptable Python Binary
2018-11-29,fitplc,Fit Hydraulic Vulnerability Curves
2018-11-29,generics,"Common S3 Generics not Provided by Base R Methods Related to
Model Fitting"
2018-11-29,IRdisplay,'Jupyter' Display Machinery
2018-11-29,kst,Knowledge Space Theory
2018-11-29,leaflet.opacity,Opacity Controls for Leaflet Maps
2018-11-29,magicaxis,"Pretty Scientific Plotting with Minor-Tick and Log Minor-Tick
Support"
2018-11-29,phylocomr,Interface to 'Phylocom'
2018-11-29,preference,2-Stage Preference Trial Design and Analysis
2018-11-29,psica,"Decision Tree Analysis for Probabilistic Subgroup Identification
with Multiple Treatments"
2018-11-29,REAT,Regional Economic Analysis Toolbox
2018-11-29,revtools,Tools to Support Evidence Synthesis
2018-11-29,RiemBase,Functions and C++ Header Files for Computation on Manifolds
2018-11-29,RStorm,Simulate and Develop Streaming Processing
2018-11-29,rWind,"Download, Edit and Include Wind Data in Ecological and
Evolutionary Analysis"
2018-11-29,selectapref,Analysis of Field and Laboratory Foraging
2018-11-29,SkewHyperbolic,The Skew Hyperbolic Student t-Distribution
2018-11-29,textfeatures,Extracts Features from Text
2018-11-29,tmod,"Feature Set Enrichment Analysis for Metabolomics and
Transcriptomics"
2018-11-29,vctrs,Vector Helpers
2018-11-29,WebPower,Basic and Advanced Statistical Power Analysis
2018-11-29,wiseR,"A Shiny Application for End-to-End Bayesian Decision Network
Analysis and Web-Deployment"
2018-11-28,chandwich,Chandler-Bate Sandwich Loglikelihood Adjustment
2018-11-28,clusterSim,Searching for Optimal Clustering Procedure for a Data Set
2018-11-28,ed50,Estimate ED50 and Its Confidence Interval
2018-11-28,elevatr,Access Elevation Data from Various APIs
2018-11-28,ETAS,Modeling Earthquake Data Using 'ETAS' Model
2018-11-28,GCD,Global Charcoal Database
2018-11-28,hgutils,Collection of Utility Functions
2018-11-28,LSAfun,Applied Latent Semantic Analysis (LSA) Functions
2018-11-28,netSEM,Network Structural Equation Modeling
2018-11-28,physiology,"Calculate physiologic characteristics of awake and anesthetized
adults, children and infants"
2018-11-28,ProFound,Photometry Tools
2018-11-28,rchie,A Parser for 'ArchieML'
2018-11-28,riskPredictClustData,Assessing Risk Predictions for Clustered Data
2018-11-28,Sim.DiffProc,Simulation of Diffusion Processes
2018-11-28,sugrrants,Supporting Graphs for Analysing Time Series
2018-11-28,tfse,Tools for Script Editing
2018-11-27,AnaCoDa,"Analysis of Codon Data under Stationarity using a Bayesian
Framework"
2018-11-27,CARRoT,"Predicting Categorical and Continuous Outcomes Using One in Ten
Rule"
2018-11-27,CUB,A Class of Mixture Models for Ordinal Data
2018-11-27,DistributionUtils,Distribution Utilities
2018-11-27,easyanova,Analysis of Variance and Other Important Complementary Analyses
2018-11-27,FRESA.CAD,Feature Selection Algorithms for Computer Aided Diagnosis
2018-11-27,gllm,Generalised log-Linear Model
2018-11-27,lasso2,L1 Constrained Estimation aka ‘lasso’
2018-11-27,nowcasting,Predicting Economic Variables using Dynamic Factor Models
2018-11-27,plot.matrix,Visualizes a Matrix as Heatmap
2018-11-27,processanimateR,Process Map Token Replay Animation
2018-11-27,pseudorank,Pseudo-Ranks
2018-11-27,sfsmisc,Utilities from 'Seminar fuer Statistik' ETH Zurich
2018-11-27,SpatialGraph,SpatialGraph Class
2018-11-27,StatDA,Statistical Analysis for Environmental Data
2018-11-27,TAShiny,'Text Analyzer Shiny'
2018-11-27,TeachNet,Fits Neural Networks to Learn About Backpropagation
2018-11-27,tidymodels,Easily Install and Load the 'Tidymodels' Packages
2018-11-27,trafo,"Estimation, Comparison and Selection of Transformations"
2018-11-26,adamethods,Archetypoid Algorithms and Anomaly Detection
2018-11-26,AdhereR,Adherence to Medications
2018-11-26,bipartiteD3,Interactive Bipartite Graphs
2018-11-26,capm,Companion Animal Population Management
2018-11-26,cranlike,Tools for 'CRAN'-Like Repositories
2018-11-26,crosswalkr,Rename and Encode Data Frames Using External Crosswalk Files
2018-11-26,fChange,Change Point Analysis in Functional Data
2018-11-26,FlexParamCurve,Tools to Fit Flexible Parametric Curves
2018-11-26,FSMUMI,Imputation of Time Series Based on Fuzzy Logic
2018-11-26,GENEAsphere,Visualisation of Raw or Segmented Accelerometer Data
2018-11-26,GSED,Group Sequential Enrichment Design
2018-11-26,hmm.discnp,"Hidden Markov Models with Discrete Non-Parametric Observation
Distributions"
2018-11-26,hsphase,"Phasing, Pedigree Reconstruction, Sire Imputation and
Recombination Events Identification of Half-sib Families Using
SNP Data"
2018-11-26,ipdw,Spatial Interpolation by Inverse Path Distance Weighting
2018-11-26,kappaSize,"Sample Size Estimation Functions for Studies of Interobserver
Agreement"
2018-11-26,mixKernel,Omics Data Integration Using Kernel Methods
2018-11-26,MRFcov,Markov Random Fields with Additional Covariates
2018-11-26,NormalLaplace,The Normal Laplace Distribution
2018-11-26,npordtests,"Nonparametric Tests for Equality of Location Against Ordered
Alternatives"
2018-11-26,PDShiny,'Probability Distribution Shiny'
2018-11-26,postlogic,Infix and Postfix Logic Operators
2018-11-26,questionr,Functions to Make Surveys Processing Easier
2018-11-26,raptr,Representative and Adequate Prioritization Toolkit in R
2018-11-26,rdwd,"Select and Download Climate Data from 'DWD' (German Weather
Service)"
2018-11-26,read.gb,Open GenBank Files
2018-11-26,readODS,Read and Write ODS Files
2018-11-26,restez,Create and Query a Local Copy of 'GenBank' in R
2018-11-26,rio,A Swiss-Army Knife for Data I/O
2018-11-26,SetMethods,"Functions for Set-Theoretic Multi-Method Research and Advanced
QCA"
2018-11-26,survival,Survival Analysis
2018-11-26,TRES,"Tensor Regression with Envelope Structure and Three Generic
Envelope Estimation Approaches"
2018-11-26,VarianceGamma,The Variance Gamma Distribution
2018-11-26,YPInterimTesting,"Interim Monitoring Using Adaptively Weighted Log-Rank Test in
Clinical Trials"
2018-11-26,ypr,Yield Per Recruit
2018-11-26,Z10,Simple Ecological Statistics from the NEON Network
2018-11-26,zscorer,Child Anthropometry z-Score Calculator
2018-11-25,BatchGetSymbols,Downloads and Organizes Financial Data for Multiple Tickers
2018-11-25,DatabaseConnector,Connecting to Various Database Platforms
2018-11-25,document,Run 'roxygen2' on (Chunks of) Single Code Files
2018-11-25,insect,Informatic Sequence Classification Trees
2018-11-25,labelled,Manipulating Labelled Data
2018-11-25,lava,Latent Variable Models
2018-11-25,MplusAutomation,"An R Package for Facilitating Large-Scale Latent Variable
Analyses in Mplus"
2018-11-25,RonFHIR,Read and Search Interface to the 'HL7 FHIR' REST API
2018-11-25,SPREDA,Statistical Package for Reliability Data Analysis
2018-11-25,ssdtools,Species Sensitivity Distributions
2018-11-25,stackoverflow,Stack Overflow's Greatest Hits
2018-11-25,TSstudio,Functions for Time Series Analysis and Forecasting
2018-11-25,yuimaGUI,A Graphical User Interface for the 'yuima' Package
2018-11-24,EmpiricalCalibration,"Routines for Performing Empirical Calibration of Observational
Study Estimates"
2018-11-24,eurostat,Tools for Eurostat Open Data
2018-11-24,grf,Generalized Random Forests (Beta)
2018-11-24,isoph,Isotonic Proportional Hazards Model
2018-11-24,mcmcr,Manipulate MCMC Samples
2018-11-24,Numero,Statistical Framework to Define Subgroups in Complex Datasets
2018-11-24,RcppEigen,"'Rcpp' Integration for the 'Eigen' Templated Linear Algebra
Library"
2018-11-24,Rmagic,MAGIC - Markov Affinity-Based Graph Imputation of Cells
2018-11-24,rpart.plot,Plot 'rpart' Models: An Enhanced Version of 'plot.rpart'
2018-11-24,stminsights,A 'Shiny' Application for Inspecting Structural Topic Models
2018-11-24,STPGA,Selection of Training Populations by Genetic Algorithm
2018-11-23,CytobankAPI,Cytobank API Wrapper for R
2018-11-23,dirichletprocess,Build Dirichlet Process Objects for Bayesian Modelling
2018-11-23,esDesign,Adaptive Enrichment Designs with Sample Size Re-Estimation
2018-11-23,googlePolylines,Encoding Coordinates into 'Google' Polylines
2018-11-23,impimp,Imprecise Imputation for Statistical Matching
2018-11-23,lognorm,Functions for the Lognormal Distribution
2018-11-23,metamedian,Meta-Analysis of Medians
2018-11-23,multiApply,Apply Functions to Multiple Multidimensional Arrays or Vectors
